Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-02-22,106161002251,1,0
Sándor Tibor,2023-02-22,106161002251,2,0
Sándor Tibor,2023-02-22,106161002251,3,0
Sándor Tibor,2023-02-22,106161002251,4,0
Sándor Tibor,2023-02-22,116173704164,1,0.919
Sándor Tibor,2023-02-22,116173704164,2,0.906
Sándor Tibor,2023-02-22,116173704164,3,0.924
Sándor Tibor,2023-02-22,116173704164,4,0.907
Sándor Tibor,2023-02-22,116173704719,1,0
Sándor Tibor,2023-02-22,116173704719,2,0
Sándor Tibor,2023-02-22,116173704719,3,0
Sándor Tibor,2023-02-22,116173704719,4,0
Sándor Tibor,2023-02-22,116173709780,1,0.876
Sándor Tibor,2023-02-22,116173709780,2,0.907
Sándor Tibor,2023-02-22,116173709780,3,0.899
Sándor Tibor,2023-02-22,116173709780,4,0.863
Sándor Tibor,2023-02-22,116180214317,1,0.898
Sándor Tibor,2023-02-22,116180214317,2,0.892
Sándor Tibor,2023-02-22,116180214317,3,0.903
Sándor Tibor,2023-02-22,116180214317,4,0.923
Sándor Tibor,2023-02-22,116180215010,1,0.885
Sándor Tibor,2023-02-22,116180215010,2,0.889
Sándor Tibor,2023-02-22,116180215010,3,0.894
Sándor Tibor,2023-02-22,116180215010,4,0.919
Sándor Tibor,2023-02-22,116180217869,1,0.845
Sándor Tibor,2023-02-22,116180217869,2,0.929
Sándor Tibor,2023-02-22,116180217869,3,0.873
Sándor Tibor,2023-02-22,116180217869,4,0.853
Sándor Tibor,2023-02-22,116180218205,1,0.909
Sándor Tibor,2023-02-22,116180218205,2,0.84
Sándor Tibor,2023-02-22,116180218205,3,0.808
Sándor Tibor,2023-02-22,116180218205,4,0.812
