Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2022-09-26,106161002251,1,0
Sándor Tibor,2022-09-26,106161002251,2,0
Sándor Tibor,2022-09-26,106161002251,3,0
Sándor Tibor,2022-09-26,106161002251,4,0
Sándor Tibor,2022-09-26,116173704164,1,1.488
Sándor Tibor,2022-09-26,116173704164,2,1.466
Sándor Tibor,2022-09-26,116173704164,3,1.497
Sándor Tibor,2022-09-26,116173704164,4,1.471
Sándor Tibor,2022-09-26,116173704719,1,0
Sándor Tibor,2022-09-26,116173704719,2,0
Sándor Tibor,2022-09-26,116173704719,3,0
Sándor Tibor,2022-09-26,116173704719,4,0
Sándor Tibor,2022-09-26,116173709780,1,1.468
Sándor Tibor,2022-09-26,116173709780,2,1.478
Sándor Tibor,2022-09-26,116173709780,3,1.479
Sándor Tibor,2022-09-26,116173709780,4,1.453
Sándor Tibor,2022-09-26,116180214317,1,1.479
Sándor Tibor,2022-09-26,116180214317,2,1.459
Sándor Tibor,2022-09-26,116180214317,3,1.474
Sándor Tibor,2022-09-26,116180214317,4,1.501
Sándor Tibor,2022-09-26,116180215010,1,1.385
Sándor Tibor,2022-09-26,116180215010,2,1.38
Sándor Tibor,2022-09-26,116180215010,3,1.371
Sándor Tibor,2022-09-26,116180215010,4,1.407
Sándor Tibor,2022-09-26,116180217869,1,1.384
Sándor Tibor,2022-09-26,116180217869,2,1.516
Sándor Tibor,2022-09-26,116180217869,3,1.451
Sándor Tibor,2022-09-26,116180217869,4,1.323
Sándor Tibor,2022-09-26,116180218205,1,1.385
Sándor Tibor,2022-09-26,116180218205,2,1.434
Sándor Tibor,2022-09-26,116180218205,3,1.363
Sándor Tibor,2022-09-26,116180218205,4,1.379
