Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-01-30,106161002251,1,0
Sándor Tibor,2023-01-30,106161002251,2,0
Sándor Tibor,2023-01-30,106161002251,3,0
Sándor Tibor,2023-01-30,106161002251,4,0
Sándor Tibor,2023-01-30,116173704164,1,0.469
Sándor Tibor,2023-01-30,116173704164,2,0.463
Sándor Tibor,2023-01-30,116173704164,3,0.473
Sándor Tibor,2023-01-30,116173704164,4,0.465
Sándor Tibor,2023-01-30,116173704719,1,0
Sándor Tibor,2023-01-30,116173704719,2,0
Sándor Tibor,2023-01-30,116173704719,3,0
Sándor Tibor,2023-01-30,116173704719,4,0
Sándor Tibor,2023-01-30,116173709780,1,0.463
Sándor Tibor,2023-01-30,116173709780,2,0.468
Sándor Tibor,2023-01-30,116173709780,3,0.467
Sándor Tibor,2023-01-30,116173709780,4,0.466
Sándor Tibor,2023-01-30,116180214317,1,0.47
Sándor Tibor,2023-01-30,116180214317,2,0.463
Sándor Tibor,2023-01-30,116180214317,3,0.466
Sándor Tibor,2023-01-30,116180214317,4,0.474
Sándor Tibor,2023-01-30,116180215010,1,0.308
Sándor Tibor,2023-01-30,116180215010,2,0.308
Sándor Tibor,2023-01-30,116180215010,3,0.31
Sándor Tibor,2023-01-30,116180215010,4,0.318
Sándor Tibor,2023-01-30,116180217869,1,0.437
Sándor Tibor,2023-01-30,116180217869,2,0.473
Sándor Tibor,2023-01-30,116180217869,3,0.405
Sándor Tibor,2023-01-30,116180217869,4,0.297
Sándor Tibor,2023-01-30,116180218205,1,0.316
Sándor Tibor,2023-01-30,116180218205,2,0.464
Sándor Tibor,2023-01-30,116180218205,3,0.45
Sándor Tibor,2023-01-30,116180218205,4,0.45
