Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-04-16,106161002251,1,1.059
Sándor Tibor,2023-04-16,106161002251,2,1.138
Sándor Tibor,2023-04-16,106161002251,3,1.067
Sándor Tibor,2023-04-16,106161002251,4,1.153
Sándor Tibor,2023-04-16,116173704164,1,0.899
Sándor Tibor,2023-04-16,116173704164,2,0.889
Sándor Tibor,2023-04-16,116173704164,3,0.907
Sándor Tibor,2023-04-16,116173704164,4,0.892
Sándor Tibor,2023-04-16,116173704719,1,1.079
Sándor Tibor,2023-04-16,116173704719,2,1.141
Sándor Tibor,2023-04-16,116173704719,3,1.101
Sándor Tibor,2023-04-16,116173704719,4,1.134
Sándor Tibor,2023-04-16,116173709780,1,0.888
Sándor Tibor,2023-04-16,116173709780,2,0.896
Sándor Tibor,2023-04-16,116173709780,3,0.893
Sándor Tibor,2023-04-16,116173709780,4,0.886
Sándor Tibor,2023-04-16,116180214317,1,0.9
Sándor Tibor,2023-04-16,116180214317,2,0.889
Sándor Tibor,2023-04-16,116180214317,3,0.895
Sándor Tibor,2023-04-16,116180214317,4,0.913
Sándor Tibor,2023-04-16,116180215010,1,0.971
Sándor Tibor,2023-04-16,116180215010,2,0.966
Sándor Tibor,2023-04-16,116180215010,3,0.963
Sándor Tibor,2023-04-16,116180215010,4,0.985
Sándor Tibor,2023-04-16,116180217869,1,0.817
Sándor Tibor,2023-04-16,116180217869,2,0.909
Sándor Tibor,2023-04-16,116180217869,3,0.846
Sándor Tibor,2023-04-16,116180217869,4,0.933
Sándor Tibor,2023-04-16,116180218205,1,0.991
Sándor Tibor,2023-04-16,116180218205,2,0.885
Sándor Tibor,2023-04-16,116180218205,3,0.854
Sándor Tibor,2023-04-16,116180218205,4,0.851
