Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-04-11,106161002251,1,0
Sándor Tibor,2023-04-11,106161002251,2,0
Sándor Tibor,2023-04-11,106161002251,3,0
Sándor Tibor,2023-04-11,106161002251,4,0
Sándor Tibor,2023-04-11,116173704164,1,0.971
Sándor Tibor,2023-04-11,116173704164,2,0.958
Sándor Tibor,2023-04-11,116173704164,3,0.978
Sándor Tibor,2023-04-11,116173704164,4,0.962
Sándor Tibor,2023-04-11,116173704719,1,0
Sándor Tibor,2023-04-11,116173704719,2,0
Sándor Tibor,2023-04-11,116173704719,3,0
Sándor Tibor,2023-04-11,116173704719,4,0
Sándor Tibor,2023-04-11,116173709780,1,0.961
Sándor Tibor,2023-04-11,116173709780,2,0.968
Sándor Tibor,2023-04-11,116173709780,3,0.965
Sándor Tibor,2023-04-11,116173709780,4,0.961
Sándor Tibor,2023-04-11,116180214317,1,0.971
Sándor Tibor,2023-04-11,116180214317,2,0.957
Sándor Tibor,2023-04-11,116180214317,3,0.966
Sándor Tibor,2023-04-11,116180214317,4,0.983
Sándor Tibor,2023-04-11,116180215010,1,0.712
Sándor Tibor,2023-04-11,116180215010,2,0.71
Sándor Tibor,2023-04-11,116180215010,3,0.709
Sándor Tibor,2023-04-11,116180215010,4,0.727
Sándor Tibor,2023-04-11,116180217869,1,0.917
Sándor Tibor,2023-04-11,116180217869,2,0.981
Sándor Tibor,2023-04-11,116180217869,3,0.907
Sándor Tibor,2023-04-11,116180217869,4,0.682
Sándor Tibor,2023-04-11,116180218205,1,0.731
Sándor Tibor,2023-04-11,116180218205,2,0.969
Sándor Tibor,2023-04-11,116180218205,3,0.937
Sándor Tibor,2023-04-11,116180218205,4,0.938
