Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-05-08,106161002251,1,2.122
Sándor Tibor,2023-05-08,106161002251,2,2.222
Sándor Tibor,2023-05-08,106161002251,3,2.124
Sándor Tibor,2023-05-08,106161002251,4,2.242
Sándor Tibor,2023-05-08,116173704164,1,1.601
Sándor Tibor,2023-05-08,116173704164,2,1.573
Sándor Tibor,2023-05-08,116173704164,3,1.608
Sándor Tibor,2023-05-08,116173704164,4,1.577
Sándor Tibor,2023-05-08,116173704719,1,2.13
Sándor Tibor,2023-05-08,116173704719,2,2.208
Sándor Tibor,2023-05-08,116173704719,3,2.167
Sándor Tibor,2023-05-08,116173704719,4,2.183
Sándor Tibor,2023-05-08,116173709780,1,1.581
Sándor Tibor,2023-05-08,116173709780,2,1.579
Sándor Tibor,2023-05-08,116173709780,3,1.584
Sándor Tibor,2023-05-08,116173709780,4,1.567
Sándor Tibor,2023-05-08,116180214317,1,1.588
Sándor Tibor,2023-05-08,116180214317,2,1.569
Sándor Tibor,2023-05-08,116180214317,3,1.586
Sándor Tibor,2023-05-08,116180214317,4,1.618
Sándor Tibor,2023-05-08,116180215010,1,2.078
Sándor Tibor,2023-05-08,116180215010,2,2.063
Sándor Tibor,2023-05-08,116180215010,3,2.05
Sándor Tibor,2023-05-08,116180215010,4,2.094
Sándor Tibor,2023-05-08,116180217869,1,1.304
Sándor Tibor,2023-05-08,116180217869,2,1.621
Sándor Tibor,2023-05-08,116180217869,3,1.524
Sándor Tibor,2023-05-08,116180217869,4,2.023
Sándor Tibor,2023-05-08,116180218205,1,2.106
Sándor Tibor,2023-05-08,116180218205,2,1.561
Sándor Tibor,2023-05-08,116180218205,3,1.508
Sándor Tibor,2023-05-08,116180218205,4,1.497
