Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2022-12-26,106161002251,1,0
Sándor Tibor,2022-12-26,106161002251,2,0
Sándor Tibor,2022-12-26,106161002251,3,0
Sándor Tibor,2022-12-26,106161002251,4,0
Sándor Tibor,2022-12-26,116173704164,1,0.638
Sándor Tibor,2022-12-26,116173704164,2,0.629
Sándor Tibor,2022-12-26,116173704164,3,0.643
Sándor Tibor,2022-12-26,116173704164,4,0.632
Sándor Tibor,2022-12-26,116173704719,1,0
Sándor Tibor,2022-12-26,116173704719,2,0
Sándor Tibor,2022-12-26,116173704719,3,0
Sándor Tibor,2022-12-26,116173704719,4,0
Sándor Tibor,2022-12-26,116173709780,1,0.626
Sándor Tibor,2022-12-26,116173709780,2,0.635
Sándor Tibor,2022-12-26,116173709780,3,0.634
Sándor Tibor,2022-12-26,116173709780,4,0.628
Sándor Tibor,2022-12-26,116180214317,1,0.633
Sándor Tibor,2022-12-26,116180214317,2,0.626
Sándor Tibor,2022-12-26,116180214317,3,0.629
Sándor Tibor,2022-12-26,116180214317,4,0.641
Sándor Tibor,2022-12-26,116180215010,1,0.422
Sándor Tibor,2022-12-26,116180215010,2,0.425
Sándor Tibor,2022-12-26,116180215010,3,0.429
Sándor Tibor,2022-12-26,116180215010,4,0.443
Sándor Tibor,2022-12-26,116180217869,1,0.533
Sándor Tibor,2022-12-26,116180217869,2,0.642
Sándor Tibor,2022-12-26,116180217869,3,0.481
Sándor Tibor,2022-12-26,116180217869,4,0.415
Sándor Tibor,2022-12-26,116180218205,1,0.437
Sándor Tibor,2022-12-26,116180218205,2,0.608
Sándor Tibor,2022-12-26,116180218205,3,0.588
Sándor Tibor,2022-12-26,116180218205,4,0.587
