Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2022-10-01,106161002251,1,0
Sándor Tibor,2022-10-01,106161002251,2,0
Sándor Tibor,2022-10-01,106161002251,3,0
Sándor Tibor,2022-10-01,106161002251,4,0
Sándor Tibor,2022-10-01,116173704164,1,0.295
Sándor Tibor,2022-10-01,116173704164,2,0.293
Sándor Tibor,2022-10-01,116173704164,3,0.3
Sándor Tibor,2022-10-01,116173704164,4,0.294
Sándor Tibor,2022-10-01,116173704719,1,0
Sándor Tibor,2022-10-01,116173704719,2,0
Sándor Tibor,2022-10-01,116173704719,3,0
Sándor Tibor,2022-10-01,116173704719,4,0
Sándor Tibor,2022-10-01,116173709780,1,0.292
Sándor Tibor,2022-10-01,116173709780,2,0.296
Sándor Tibor,2022-10-01,116173709780,3,0.293
Sándor Tibor,2022-10-01,116173709780,4,0.292
Sándor Tibor,2022-10-01,116180214317,1,0.302
Sándor Tibor,2022-10-01,116180214317,2,0.295
Sándor Tibor,2022-10-01,116180214317,3,0.296
Sándor Tibor,2022-10-01,116180214317,4,0.302
Sándor Tibor,2022-10-01,116180215010,1,0.298
Sándor Tibor,2022-10-01,116180215010,2,0.298
Sándor Tibor,2022-10-01,116180215010,3,0.298
Sándor Tibor,2022-10-01,116180215010,4,0.304
Sándor Tibor,2022-10-01,116180217869,1,0.277
Sándor Tibor,2022-10-01,116180217869,2,0.299
Sándor Tibor,2022-10-01,116180217869,3,0.276
Sándor Tibor,2022-10-01,116180217869,4,0.281
Sándor Tibor,2022-10-01,116180218205,1,0.308
Sándor Tibor,2022-10-01,116180218205,2,0.296
Sándor Tibor,2022-10-01,116180218205,3,0.287
Sándor Tibor,2022-10-01,116180218205,4,0.285
