Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-05-13,106161002251,1,0.656
Sándor Tibor,2023-05-13,106161002251,2,0.709
Sándor Tibor,2023-05-13,106161002251,3,0.658
Sándor Tibor,2023-05-13,106161002251,4,0.717
Sándor Tibor,2023-05-13,116173704164,1,0.617
Sándor Tibor,2023-05-13,116173704164,2,0.611
Sándor Tibor,2023-05-13,116173704164,3,0.623
Sándor Tibor,2023-05-13,116173704164,4,0.612
Sándor Tibor,2023-05-13,116173704719,1,0.661
Sándor Tibor,2023-05-13,116173704719,2,0.704
Sándor Tibor,2023-05-13,116173704719,3,0.672
Sándor Tibor,2023-05-13,116173704719,4,0.698
Sándor Tibor,2023-05-13,116173709780,1,0.608
Sándor Tibor,2023-05-13,116173709780,2,0.615
Sándor Tibor,2023-05-13,116173709780,3,0.611
Sándor Tibor,2023-05-13,116173709780,4,0.608
Sándor Tibor,2023-05-13,116180214317,1,0.62
Sándor Tibor,2023-05-13,116180214317,2,0.608
Sándor Tibor,2023-05-13,116180214317,3,0.613
Sándor Tibor,2023-05-13,116180214317,4,0.627
Sándor Tibor,2023-05-13,116180215010,1,0.566
Sándor Tibor,2023-05-13,116180215010,2,0.564
Sándor Tibor,2023-05-13,116180215010,3,0.564
Sándor Tibor,2023-05-13,116180215010,4,0.578
Sándor Tibor,2023-05-13,116180217869,1,0.575
Sándor Tibor,2023-05-13,116180217869,2,0.623
Sándor Tibor,2023-05-13,116180217869,3,0.565
Sándor Tibor,2023-05-13,116180217869,4,0.533
Sándor Tibor,2023-05-13,116180218205,1,0.584
Sándor Tibor,2023-05-13,116180218205,2,0.612
Sándor Tibor,2023-05-13,116180218205,3,0.594
Sándor Tibor,2023-05-13,116180218205,4,0.59
