Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-03-05,106161002251,1,0
Sándor Tibor,2023-03-05,106161002251,2,0
Sándor Tibor,2023-03-05,106161002251,3,0
Sándor Tibor,2023-03-05,106161002251,4,0
Sándor Tibor,2023-03-05,116173704164,1,0.971
Sándor Tibor,2023-03-05,116173704164,2,0.956
Sándor Tibor,2023-03-05,116173704164,3,0.976
Sándor Tibor,2023-03-05,116173704164,4,0.959
Sándor Tibor,2023-03-05,116173704719,1,0
Sándor Tibor,2023-03-05,116173704719,2,0
Sándor Tibor,2023-03-05,116173704719,3,0
Sándor Tibor,2023-03-05,116173704719,4,0
Sándor Tibor,2023-03-05,116173709780,1,0.953
Sándor Tibor,2023-03-05,116173709780,2,0.962
Sándor Tibor,2023-03-05,116173709780,3,0.96
Sándor Tibor,2023-03-05,116173709780,4,0.947
Sándor Tibor,2023-03-05,116180214317,1,0.963
Sándor Tibor,2023-03-05,116180214317,2,0.951
Sándor Tibor,2023-03-05,116180214317,3,0.961
Sándor Tibor,2023-03-05,116180214317,4,0.98
Sándor Tibor,2023-03-05,116180215010,1,0.927
Sándor Tibor,2023-03-05,116180215010,2,0.923
Sándor Tibor,2023-03-05,116180215010,3,0.921
Sándor Tibor,2023-03-05,116180215010,4,0.944
Sándor Tibor,2023-03-05,116180217869,1,0.908
Sándor Tibor,2023-03-05,116180217869,2,0.984
Sándor Tibor,2023-03-05,116180217869,3,0.934
Sándor Tibor,2023-03-05,116180217869,4,0.901
Sándor Tibor,2023-03-05,116180218205,1,0.934
Sándor Tibor,2023-03-05,116180218205,2,0.937
Sándor Tibor,2023-03-05,116180218205,3,0.905
Sándor Tibor,2023-03-05,116180218205,4,0.913
