Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-01-29,106161002251,1,0
Sándor Tibor,2023-01-29,106161002251,2,0
Sándor Tibor,2023-01-29,106161002251,3,0
Sándor Tibor,2023-01-29,106161002251,4,0
Sándor Tibor,2023-01-29,116173704164,1,1.278
Sándor Tibor,2023-01-29,116173704164,2,1.262
Sándor Tibor,2023-01-29,116173704164,3,1.29
Sándor Tibor,2023-01-29,116173704164,4,1.271
Sándor Tibor,2023-01-29,116173704719,1,0
Sándor Tibor,2023-01-29,116173704719,2,0
Sándor Tibor,2023-01-29,116173704719,3,0
Sándor Tibor,2023-01-29,116173704719,4,0
Sándor Tibor,2023-01-29,116173709780,1,1.276
Sándor Tibor,2023-01-29,116173709780,2,1.279
Sándor Tibor,2023-01-29,116173709780,3,1.277
Sándor Tibor,2023-01-29,116173709780,4,1.234
Sándor Tibor,2023-01-29,116180214317,1,1.277
Sándor Tibor,2023-01-29,116180214317,2,1.26
Sándor Tibor,2023-01-29,116180214317,3,1.271
Sándor Tibor,2023-01-29,116180214317,4,1.293
Sándor Tibor,2023-01-29,116180215010,1,0.955
Sándor Tibor,2023-01-29,116180215010,2,0.951
Sándor Tibor,2023-01-29,116180215010,3,0.95
Sándor Tibor,2023-01-29,116180215010,4,0.976
Sándor Tibor,2023-01-29,116180217869,1,1.227
Sándor Tibor,2023-01-29,116180217869,2,1.306
Sándor Tibor,2023-01-29,116180217869,3,1.033
Sándor Tibor,2023-01-29,116180217869,4,0.935
Sándor Tibor,2023-01-29,116180218205,1,0.95
Sándor Tibor,2023-01-29,116180218205,2,1.097
Sándor Tibor,2023-01-29,116180218205,3,1.06
Sándor Tibor,2023-01-29,116180218205,4,1.059
