Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2022-09-30,106161002251,1,0
Sándor Tibor,2022-09-30,106161002251,2,0
Sándor Tibor,2022-09-30,106161002251,3,0
Sándor Tibor,2022-09-30,106161002251,4,0
Sándor Tibor,2022-09-30,116173704164,1,0.718
Sándor Tibor,2022-09-30,116173704164,2,0.71
Sándor Tibor,2022-09-30,116173704164,3,0.725
Sándor Tibor,2022-09-30,116173704164,4,0.712
Sándor Tibor,2022-09-30,116173704719,1,0
Sándor Tibor,2022-09-30,116173704719,2,0
Sándor Tibor,2022-09-30,116173704719,3,0
Sándor Tibor,2022-09-30,116173704719,4,0
Sándor Tibor,2022-09-30,116173709780,1,0.7
Sándor Tibor,2022-09-30,116173709780,2,0.715
Sándor Tibor,2022-09-30,116173709780,3,0.711
Sándor Tibor,2022-09-30,116173709780,4,0.687
Sándor Tibor,2022-09-30,116180214317,1,0.716
Sándor Tibor,2022-09-30,116180214317,2,0.707
Sándor Tibor,2022-09-30,116180214317,3,0.713
Sándor Tibor,2022-09-30,116180214317,4,0.727
Sándor Tibor,2022-09-30,116180215010,1,0.847
Sándor Tibor,2022-09-30,116180215010,2,0.843
Sándor Tibor,2022-09-30,116180215010,3,0.839
Sándor Tibor,2022-09-30,116180215010,4,0.861
Sándor Tibor,2022-09-30,116180217869,1,0.639
Sándor Tibor,2022-09-30,116180217869,2,0.727
Sándor Tibor,2022-09-30,116180217869,3,0.686
Sándor Tibor,2022-09-30,116180217869,4,0.814
Sándor Tibor,2022-09-30,116180218205,1,0.858
Sándor Tibor,2022-09-30,116180218205,2,0.641
Sándor Tibor,2022-09-30,116180218205,3,0.608
Sándor Tibor,2022-09-30,116180218205,4,0.603
