Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2022-09-06,106161002251,1,0
Sándor Tibor,2022-09-06,106161002251,2,0
Sándor Tibor,2022-09-06,106161002251,3,0
Sándor Tibor,2022-09-06,106161002251,4,0
Sándor Tibor,2022-09-06,116173704164,1,1.584
Sándor Tibor,2022-09-06,116173704164,2,1.556
Sándor Tibor,2022-09-06,116173704164,3,1.586
Sándor Tibor,2022-09-06,116173704164,4,1.558
Sándor Tibor,2022-09-06,116173704719,1,0
Sándor Tibor,2022-09-06,116173704719,2,0
Sándor Tibor,2022-09-06,116173704719,3,0
Sándor Tibor,2022-09-06,116173704719,4,0
Sándor Tibor,2022-09-06,116173709780,1,1.546
Sándor Tibor,2022-09-06,116173709780,2,1.567
Sándor Tibor,2022-09-06,116173709780,3,1.563
Sándor Tibor,2022-09-06,116173709780,4,1.548
Sándor Tibor,2022-09-06,116180214317,1,1.561
Sándor Tibor,2022-09-06,116180214317,2,1.538
Sándor Tibor,2022-09-06,116180214317,3,1.561
Sándor Tibor,2022-09-06,116180214317,4,1.591
Sándor Tibor,2022-09-06,116180215010,1,1.099
Sándor Tibor,2022-09-06,116180215010,2,1.327
Sándor Tibor,2022-09-06,116180215010,3,1.395
Sándor Tibor,2022-09-06,116180215010,4,1.44
Sándor Tibor,2022-09-06,116180217869,1,1.474
Sándor Tibor,2022-09-06,116180217869,2,1.604
Sándor Tibor,2022-09-06,116180217869,3,1.478
Sándor Tibor,2022-09-06,116180217869,4,1.104
Sándor Tibor,2022-09-06,116180218205,1,1.431
Sándor Tibor,2022-09-06,116180218205,2,1.565
Sándor Tibor,2022-09-06,116180218205,3,1.494
Sándor Tibor,2022-09-06,116180218205,4,1.5
