Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-02-05,106161002251,1,0
Sándor Tibor,2023-02-05,106161002251,2,0
Sándor Tibor,2023-02-05,106161002251,3,0
Sándor Tibor,2023-02-05,106161002251,4,0
Sándor Tibor,2023-02-05,116173704164,1,1.611
Sándor Tibor,2023-02-05,116173704164,2,1.588
Sándor Tibor,2023-02-05,116173704164,3,1.618
Sándor Tibor,2023-02-05,116173704164,4,1.588
Sándor Tibor,2023-02-05,116173704719,1,0
Sándor Tibor,2023-02-05,116173704719,2,0
Sándor Tibor,2023-02-05,116173704719,3,0
Sándor Tibor,2023-02-05,116173704719,4,0
Sándor Tibor,2023-02-05,116173709780,1,1.559
Sándor Tibor,2023-02-05,116173709780,2,1.591
Sándor Tibor,2023-02-05,116173709780,3,1.577
Sándor Tibor,2023-02-05,116173709780,4,1.529
Sándor Tibor,2023-02-05,116180214317,1,1.577
Sándor Tibor,2023-02-05,116180214317,2,1.568
Sándor Tibor,2023-02-05,116180214317,3,1.589
Sándor Tibor,2023-02-05,116180214317,4,1.616
Sándor Tibor,2023-02-05,116180215010,1,0.957
Sándor Tibor,2023-02-05,116180215010,2,0.961
Sándor Tibor,2023-02-05,116180215010,3,0.965
Sándor Tibor,2023-02-05,116180215010,4,0.999
Sándor Tibor,2023-02-05,116180217869,1,1.568
Sándor Tibor,2023-02-05,116180217869,2,1.653
Sándor Tibor,2023-02-05,116180217869,3,1.185
Sándor Tibor,2023-02-05,116180217869,4,0.905
Sándor Tibor,2023-02-05,116180218205,1,0.971
Sándor Tibor,2023-02-05,116180218205,2,1.47
Sándor Tibor,2023-02-05,116180218205,3,1.421
Sándor Tibor,2023-02-05,116180218205,4,1.437
