Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-04-05,106161002251,1,0
Sándor Tibor,2023-04-05,106161002251,2,0
Sándor Tibor,2023-04-05,106161002251,3,0
Sándor Tibor,2023-04-05,106161002251,4,0
Sándor Tibor,2023-04-05,116173704164,1,2.444
Sándor Tibor,2023-04-05,116173704164,2,2.401
Sándor Tibor,2023-04-05,116173704164,3,2.456
Sándor Tibor,2023-04-05,116173704164,4,2.398
Sándor Tibor,2023-04-05,116173704719,1,0
Sándor Tibor,2023-04-05,116173704719,2,0
Sándor Tibor,2023-04-05,116173704719,3,0
Sándor Tibor,2023-04-05,116173704719,4,0
Sándor Tibor,2023-04-05,116173709780,1,2.415
Sándor Tibor,2023-04-05,116173709780,2,2.41
Sándor Tibor,2023-04-05,116173709780,3,2.415
Sándor Tibor,2023-04-05,116173709780,4,2.377
Sándor Tibor,2023-04-05,116180214317,1,2.416
Sándor Tibor,2023-04-05,116180214317,2,2.39
Sándor Tibor,2023-04-05,116180214317,3,2.411
Sándor Tibor,2023-04-05,116180214317,4,2.463
Sándor Tibor,2023-04-05,116180215010,1,2.059
Sándor Tibor,2023-04-05,116180215010,2,2.052
Sándor Tibor,2023-04-05,116180215010,3,2.046
Sándor Tibor,2023-04-05,116180215010,4,2.09
Sándor Tibor,2023-04-05,116180217869,1,2.175
Sándor Tibor,2023-04-05,116180217869,2,2.486
Sándor Tibor,2023-04-05,116180217869,3,2.42
Sándor Tibor,2023-04-05,116180217869,4,1.976
Sándor Tibor,2023-04-05,116180218205,1,2.1
Sándor Tibor,2023-04-05,116180218205,2,2.393
Sándor Tibor,2023-04-05,116180218205,3,2.248
Sándor Tibor,2023-04-05,116180218205,4,2.294
