Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-01-10,106161002251,1,0
Sándor Tibor,2023-01-10,106161002251,2,0
Sándor Tibor,2023-01-10,106161002251,3,0
Sándor Tibor,2023-01-10,106161002251,4,0
Sándor Tibor,2023-01-10,116173704164,1,0.152
Sándor Tibor,2023-01-10,116173704164,2,0.15
Sándor Tibor,2023-01-10,116173704164,3,0.152
Sándor Tibor,2023-01-10,116173704164,4,0.147
Sándor Tibor,2023-01-10,116173704719,1,0
Sándor Tibor,2023-01-10,116173704719,2,0
Sándor Tibor,2023-01-10,116173704719,3,0
Sándor Tibor,2023-01-10,116173704719,4,0
Sándor Tibor,2023-01-10,116173709780,1,0.143
Sándor Tibor,2023-01-10,116173709780,2,0.147
Sándor Tibor,2023-01-10,116173709780,3,0.145
Sándor Tibor,2023-01-10,116173709780,4,0.142
Sándor Tibor,2023-01-10,116180214317,1,0.151
Sándor Tibor,2023-01-10,116180214317,2,0.148
Sándor Tibor,2023-01-10,116180214317,3,0.149
Sándor Tibor,2023-01-10,116180214317,4,0.154
Sándor Tibor,2023-01-10,116180215010,1,0.16
Sándor Tibor,2023-01-10,116180215010,2,0.164
Sándor Tibor,2023-01-10,116180215010,3,0.17
Sándor Tibor,2023-01-10,116180215010,4,0.179
Sándor Tibor,2023-01-10,116180217869,1,0.14
Sándor Tibor,2023-01-10,116180217869,2,0.155
Sándor Tibor,2023-01-10,116180217869,3,0.139
Sándor Tibor,2023-01-10,116180217869,4,0.151
Sándor Tibor,2023-01-10,116180218205,1,0.181
Sándor Tibor,2023-01-10,116180218205,2,0.14
Sándor Tibor,2023-01-10,116180218205,3,0.136
Sándor Tibor,2023-01-10,116180218205,4,0.135
