Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-05-07,106161002251,1,2.038
Sándor Tibor,2023-05-07,106161002251,2,2.137
Sándor Tibor,2023-05-07,106161002251,3,2.037
Sándor Tibor,2023-05-07,106161002251,4,2.152
Sándor Tibor,2023-05-07,116173704164,1,1.808
Sándor Tibor,2023-05-07,116173704164,2,1.779
Sándor Tibor,2023-05-07,116173704164,3,1.815
Sándor Tibor,2023-05-07,116173704164,4,1.785
Sándor Tibor,2023-05-07,116173704719,1,2.04
Sándor Tibor,2023-05-07,116173704719,2,2.119
Sándor Tibor,2023-05-07,116173704719,3,2.069
Sándor Tibor,2023-05-07,116173704719,4,2.091
Sándor Tibor,2023-05-07,116173709780,1,1.794
Sándor Tibor,2023-05-07,116173709780,2,1.793
Sándor Tibor,2023-05-07,116173709780,3,1.794
Sándor Tibor,2023-05-07,116173709780,4,1.784
Sándor Tibor,2023-05-07,116180214317,1,1.8
Sándor Tibor,2023-05-07,116180214317,2,1.772
Sándor Tibor,2023-05-07,116180214317,3,1.796
Sándor Tibor,2023-05-07,116180214317,4,1.828
Sándor Tibor,2023-05-07,116180215010,1,1.766
Sándor Tibor,2023-05-07,116180215010,2,1.757
Sándor Tibor,2023-05-07,116180215010,3,1.747
Sándor Tibor,2023-05-07,116180215010,4,1.788
Sándor Tibor,2023-05-07,116180217869,1,1.62
Sándor Tibor,2023-05-07,116180217869,2,1.84
Sándor Tibor,2023-05-07,116180217869,3,1.735
Sándor Tibor,2023-05-07,116180217869,4,1.729
Sándor Tibor,2023-05-07,116180218205,1,1.804
Sándor Tibor,2023-05-07,116180218205,2,1.797
Sándor Tibor,2023-05-07,116180218205,3,1.734
Sándor Tibor,2023-05-07,116180218205,4,1.748
