Plant Name,Date,Sn,Port,Energy (kWh)
Sándor Tibor,2023-02-16,106161002251,1,0
Sándor Tibor,2023-02-16,106161002251,2,0
Sándor Tibor,2023-02-16,106161002251,3,0
Sándor Tibor,2023-02-16,106161002251,4,0
Sándor Tibor,2023-02-16,116173704164,1,0.314
Sándor Tibor,2023-02-16,116173704164,2,0.311
Sándor Tibor,2023-02-16,116173704164,3,0.318
Sándor Tibor,2023-02-16,116173704164,4,0.312
Sándor Tibor,2023-02-16,116173704719,1,0
Sándor Tibor,2023-02-16,116173704719,2,0
Sándor Tibor,2023-02-16,116173704719,3,0
Sándor Tibor,2023-02-16,116173704719,4,0
Sándor Tibor,2023-02-16,116173709780,1,0.309
Sándor Tibor,2023-02-16,116173709780,2,0.314
Sándor Tibor,2023-02-16,116173709780,3,0.312
Sándor Tibor,2023-02-16,116173709780,4,0.31
Sándor Tibor,2023-02-16,116180214317,1,0.318
Sándor Tibor,2023-02-16,116180214317,2,0.311
Sándor Tibor,2023-02-16,116180214317,3,0.313
Sándor Tibor,2023-02-16,116180214317,4,0.319
Sándor Tibor,2023-02-16,116180215010,1,0.307
Sándor Tibor,2023-02-16,116180215010,2,0.306
Sándor Tibor,2023-02-16,116180215010,3,0.307
Sándor Tibor,2023-02-16,116180215010,4,0.314
Sándor Tibor,2023-02-16,116180217869,1,0.289
Sándor Tibor,2023-02-16,116180217869,2,0.316
Sándor Tibor,2023-02-16,116180217869,3,0.288
Sándor Tibor,2023-02-16,116180217869,4,0.289
Sándor Tibor,2023-02-16,116180218205,1,0.319
Sándor Tibor,2023-02-16,116180218205,2,0.313
Sándor Tibor,2023-02-16,116180218205,3,0.303
Sándor Tibor,2023-02-16,116180218205,4,0.301
