Plant Name,Time,Production (W)
Sándor Tibor,2023-05-24 05:00,2
Sándor Tibor,2023-05-24 05:15,80
Sándor Tibor,2023-05-24 05:30,179
Sándor Tibor,2023-05-24 05:45,302
Sándor Tibor,2023-05-24 06:00,424
Sándor Tibor,2023-05-24 06:15,995
Sándor Tibor,2023-05-24 06:30,1347
Sándor Tibor,2023-05-24 06:45,1767
Sándor Tibor,2023-05-24 07:00,2200
Sándor Tibor,2023-05-24 07:15,2667
Sándor Tibor,2023-05-24 07:30,3178
Sándor Tibor,2023-05-24 07:45,3700
Sándor Tibor,2023-05-24 08:00,4235
Sándor Tibor,2023-05-24 08:15,4759
Sándor Tibor,2023-05-24 08:30,5217
Sándor Tibor,2023-05-24 08:45,5804
Sándor Tibor,2023-05-24 09:00,6325
Sándor Tibor,2023-05-24 09:15,6819
Sándor Tibor,2023-05-24 09:30,7327
Sándor Tibor,2023-05-24 09:45,7770
Sándor Tibor,2023-05-24 10:00,8279
Sándor Tibor,2023-05-24 10:15,8729
Sándor Tibor,2023-05-24 10:30,9127
Sándor Tibor,2023-05-24 10:45,9640
Sándor Tibor,2023-05-24 11:00,10221
Sándor Tibor,2023-05-24 11:15,10558
Sándor Tibor,2023-05-24 11:30,10523
Sándor Tibor,2023-05-24 11:45,9726
Sándor Tibor,2023-05-24 12:00,10259
Sándor Tibor,2023-05-24 12:15,10015
Sándor Tibor,2023-05-24 12:30,9808
Sándor Tibor,2023-05-24 12:45,9707
Sándor Tibor,2023-05-24 13:00,9815
Sándor Tibor,2023-05-24 13:15,9481
Sándor Tibor,2023-05-24 13:30,9283
Sándor Tibor,2023-05-24 13:45,10688
Sándor Tibor,2023-05-24 14:00,10659
Sándor Tibor,2023-05-24 14:15,10388
Sándor Tibor,2023-05-24 14:30,9839
Sándor Tibor,2023-05-24 14:45,9438
Sándor Tibor,2023-05-24 15:00,7186
Sándor Tibor,2023-05-24 15:15,8585
Sándor Tibor,2023-05-24 15:30,8114
Sándor Tibor,2023-05-24 15:45,7628
Sándor Tibor,2023-05-24 16:00,7035
Sándor Tibor,2023-05-24 16:15,6533
Sándor Tibor,2023-05-24 16:30,5908
Sándor Tibor,2023-05-24 16:45,5258
Sándor Tibor,2023-05-24 17:00,4676
Sándor Tibor,2023-05-24 17:15,4086
Sándor Tibor,2023-05-24 17:30,3614
Sándor Tibor,2023-05-24 17:45,3214
Sándor Tibor,2023-05-24 18:00,2907
Sándor Tibor,2023-05-24 18:15,2245
Sándor Tibor,2023-05-24 18:30,1514
Sándor Tibor,2023-05-24 18:45,1275
Sándor Tibor,2023-05-24 19:00,1265
Sándor Tibor,2023-05-24 19:15,904
Sándor Tibor,2023-05-24 19:30,602
Sándor Tibor,2023-05-24 19:45,369
Sándor Tibor,2023-05-24 20:00,194
Sándor Tibor,2023-05-24 20:15,108
Sándor Tibor,2023-05-24 20:30,43
Sándor Tibor,2023-05-24 20:45,2
Sándor Tibor,2023-05-24 21:00,0
Sándor Tibor,2023-05-24 21:15,0
