Plant Name,Time,Production (W)
Sándor Tibor,2023-05-15 05:15,2
Sándor Tibor,2023-05-15 05:30,59
Sándor Tibor,2023-05-15 05:45,191
Sándor Tibor,2023-05-15 06:00,233
Sándor Tibor,2023-05-15 06:15,473
Sándor Tibor,2023-05-15 06:30,548
Sándor Tibor,2023-05-15 06:45,573
Sándor Tibor,2023-05-15 07:00,611
Sándor Tibor,2023-05-15 07:15,610
Sándor Tibor,2023-05-15 07:30,826
Sándor Tibor,2023-05-15 07:45,730
Sándor Tibor,2023-05-15 08:00,1187
Sándor Tibor,2023-05-15 08:15,1350
Sándor Tibor,2023-05-15 08:30,2050
Sándor Tibor,2023-05-15 08:45,2925
Sándor Tibor,2023-05-15 09:00,1308
Sándor Tibor,2023-05-15 09:15,2136
Sándor Tibor,2023-05-15 09:30,4668
Sándor Tibor,2023-05-15 09:45,4612
Sándor Tibor,2023-05-15 10:00,2823
Sándor Tibor,2023-05-15 10:15,3881
Sándor Tibor,2023-05-15 10:30,3217
Sándor Tibor,2023-05-15 10:45,3321
Sándor Tibor,2023-05-15 11:00,4240
Sándor Tibor,2023-05-15 11:15,5429
Sándor Tibor,2023-05-15 11:30,4855
Sándor Tibor,2023-05-15 11:45,7538
Sándor Tibor,2023-05-15 12:00,5616
Sándor Tibor,2023-05-15 12:15,7424
Sándor Tibor,2023-05-15 12:30,5802
Sándor Tibor,2023-05-15 12:45,8800
Sándor Tibor,2023-05-15 13:00,4112
Sándor Tibor,2023-05-15 13:15,3324
Sándor Tibor,2023-05-15 13:30,7103
Sándor Tibor,2023-05-15 13:45,3574
Sándor Tibor,2023-05-15 14:00,4897
Sándor Tibor,2023-05-15 14:15,2098
Sándor Tibor,2023-05-15 14:30,5881
Sándor Tibor,2023-05-15 14:45,3312
Sándor Tibor,2023-05-15 15:00,2950
Sándor Tibor,2023-05-15 15:15,2608
Sándor Tibor,2023-05-15 15:30,7006
Sándor Tibor,2023-05-15 15:45,6408
Sándor Tibor,2023-05-15 16:00,3485
Sándor Tibor,2023-05-15 16:15,7463
Sándor Tibor,2023-05-15 16:30,2233
Sándor Tibor,2023-05-15 16:45,5076
Sándor Tibor,2023-05-15 17:00,1976
Sándor Tibor,2023-05-15 17:30,3530
Sándor Tibor,2023-05-15 17:45,1542
Sándor Tibor,2023-05-15 18:00,2062
Sándor Tibor,2023-05-15 18:15,1296
Sándor Tibor,2023-05-15 18:30,1832
Sándor Tibor,2023-05-15 18:45,1274
Sándor Tibor,2023-05-15 19:00,731
Sándor Tibor,2023-05-15 19:15,461
Sándor Tibor,2023-05-15 19:30,376
Sándor Tibor,2023-05-15 19:45,219
Sándor Tibor,2023-05-15 20:00,111
Sándor Tibor,2023-05-15 20:15,55
Sándor Tibor,2023-05-15 20:30,17
Sándor Tibor,2023-05-15 20:45,2
Sándor Tibor,2023-05-15 21:00,0
