Plant Name,Time,Production (W)
Sándor Tibor,2023-05-20 05:00,2
Sándor Tibor,2023-05-20 05:15,81
Sándor Tibor,2023-05-20 05:30,181
Sándor Tibor,2023-05-20 05:45,314
Sándor Tibor,2023-05-20 06:00,494
Sándor Tibor,2023-05-20 06:15,704
Sándor Tibor,2023-05-20 06:30,1422
Sándor Tibor,2023-05-20 06:45,2246
Sándor Tibor,2023-05-20 07:00,1734
Sándor Tibor,2023-05-20 07:15,1398
Sándor Tibor,2023-05-20 07:30,2105
Sándor Tibor,2023-05-20 07:45,3503
Sándor Tibor,2023-05-20 08:00,4092
Sándor Tibor,2023-05-20 08:15,4588
Sándor Tibor,2023-05-20 08:30,4899
Sándor Tibor,2023-05-20 08:45,5582
Sándor Tibor,2023-05-20 09:00,3833
Sándor Tibor,2023-05-20 09:15,6621
Sándor Tibor,2023-05-20 09:30,6973
Sándor Tibor,2023-05-20 09:45,6762
Sándor Tibor,2023-05-20 10:00,6062
Sándor Tibor,2023-05-20 10:15,6006
Sándor Tibor,2023-05-20 10:30,8546
Sándor Tibor,2023-05-20 10:45,8663
Sándor Tibor,2023-05-20 11:00,8999
Sándor Tibor,2023-05-20 11:15,9367
Sándor Tibor,2023-05-20 11:30,9764
Sándor Tibor,2023-05-20 11:45,7803
Sándor Tibor,2023-05-20 12:00,7226
Sándor Tibor,2023-05-20 12:15,5968
Sándor Tibor,2023-05-20 12:30,8235
Sándor Tibor,2023-05-20 12:45,9181
Sándor Tibor,2023-05-20 13:00,8680
Sándor Tibor,2023-05-20 13:15,6564
Sándor Tibor,2023-05-20 13:30,7110
Sándor Tibor,2023-05-20 13:45,8757
Sándor Tibor,2023-05-20 14:00,8533
Sándor Tibor,2023-05-20 14:15,8493
Sándor Tibor,2023-05-20 14:30,8020
Sándor Tibor,2023-05-20 14:45,7948
Sándor Tibor,2023-05-20 15:00,7638
Sándor Tibor,2023-05-20 15:15,6541
Sándor Tibor,2023-05-20 15:30,5499
Sándor Tibor,2023-05-20 15:45,5577
Sándor Tibor,2023-05-20 16:00,5015
Sándor Tibor,2023-05-20 16:15,1905
Sándor Tibor,2023-05-20 16:30,994
Sándor Tibor,2023-05-20 16:45,4412
Sándor Tibor,2023-05-20 17:00,1259
Sándor Tibor,2023-05-20 17:15,2679
Sándor Tibor,2023-05-20 17:30,2030
Sándor Tibor,2023-05-20 17:45,2341
Sándor Tibor,2023-05-20 18:00,1586
Sándor Tibor,2023-05-20 18:15,2333
Sándor Tibor,2023-05-20 18:30,1800
Sándor Tibor,2023-05-20 18:45,957
Sándor Tibor,2023-05-20 19:00,1031
Sándor Tibor,2023-05-20 19:15,659
Sándor Tibor,2023-05-20 19:30,397
Sándor Tibor,2023-05-20 19:45,268
Sándor Tibor,2023-05-20 20:00,167
Sándor Tibor,2023-05-20 20:15,64
Sándor Tibor,2023-05-20 20:30,2
Sándor Tibor,2023-05-20 20:45,2
Sándor Tibor,2023-05-20 21:00,0
