Plant Name,Time,Production (W)
Sándor Tibor,2023-05-16 05:15,14
Sándor Tibor,2023-05-16 05:30,49
Sándor Tibor,2023-05-16 05:45,104
Sándor Tibor,2023-05-16 06:00,155
Sándor Tibor,2023-05-16 06:15,319
Sándor Tibor,2023-05-16 06:30,385
Sándor Tibor,2023-05-16 06:45,386
Sándor Tibor,2023-05-16 07:00,460
Sándor Tibor,2023-05-16 07:15,780
Sándor Tibor,2023-05-16 07:30,1066
Sándor Tibor,2023-05-16 07:45,1011
Sándor Tibor,2023-05-16 08:00,770
Sándor Tibor,2023-05-16 08:15,629
Sándor Tibor,2023-05-16 08:30,923
Sándor Tibor,2023-05-16 08:45,854
Sándor Tibor,2023-05-16 09:00,935
Sándor Tibor,2023-05-16 09:15,669
Sándor Tibor,2023-05-16 09:30,547
Sándor Tibor,2023-05-16 09:45,881
Sándor Tibor,2023-05-16 10:00,1109
Sándor Tibor,2023-05-16 10:15,1393
Sándor Tibor,2023-05-16 10:30,1758
Sándor Tibor,2023-05-16 10:45,2467
Sándor Tibor,2023-05-16 11:00,938
Sándor Tibor,2023-05-16 11:15,757
Sándor Tibor,2023-05-16 11:30,1530
Sándor Tibor,2023-05-16 11:45,952
Sándor Tibor,2023-05-16 12:00,646
Sándor Tibor,2023-05-16 12:15,583
Sándor Tibor,2023-05-16 12:30,561
Sándor Tibor,2023-05-16 12:45,862
Sándor Tibor,2023-05-16 13:00,1015
Sándor Tibor,2023-05-16 13:15,701
Sándor Tibor,2023-05-16 13:30,964
Sándor Tibor,2023-05-16 13:45,1738
Sándor Tibor,2023-05-16 14:00,1350
Sándor Tibor,2023-05-16 14:15,684
Sándor Tibor,2023-05-16 14:30,833
Sándor Tibor,2023-05-16 14:45,666
Sándor Tibor,2023-05-16 15:00,927
Sándor Tibor,2023-05-16 15:15,668
Sándor Tibor,2023-05-16 15:30,670
Sándor Tibor,2023-05-16 15:45,518
Sándor Tibor,2023-05-16 16:00,507
Sándor Tibor,2023-05-16 16:15,438
Sándor Tibor,2023-05-16 16:30,329
Sándor Tibor,2023-05-16 16:45,437
Sándor Tibor,2023-05-16 17:00,296
Sándor Tibor,2023-05-16 17:15,241
Sándor Tibor,2023-05-16 17:30,271
Sándor Tibor,2023-05-16 17:45,155
Sándor Tibor,2023-05-16 18:00,110
Sándor Tibor,2023-05-16 18:15,134
Sándor Tibor,2023-05-16 18:30,64
Sándor Tibor,2023-05-16 18:45,45
Sándor Tibor,2023-05-16 19:00,65
Sándor Tibor,2023-05-16 19:15,50
Sándor Tibor,2023-05-16 19:30,19
Sándor Tibor,2023-05-16 19:45,2
Sándor Tibor,2023-05-16 20:00,2
Sándor Tibor,2023-05-16 20:15,0
