Plant Name,Time,Production (W)
Sándor Tibor,2023-05-12 05:30,2
Sándor Tibor,2023-05-12 05:45,61
Sándor Tibor,2023-05-12 06:00,153
Sándor Tibor,2023-05-12 06:15,228
Sándor Tibor,2023-05-12 06:30,298
Sándor Tibor,2023-05-12 06:45,305
Sándor Tibor,2023-05-12 07:00,180
Sándor Tibor,2023-05-12 07:15,436
Sándor Tibor,2023-05-12 07:30,400
Sándor Tibor,2023-05-12 07:45,522
Sándor Tibor,2023-05-12 08:00,397
Sándor Tibor,2023-05-12 08:15,620
Sándor Tibor,2023-05-12 08:30,368
Sándor Tibor,2023-05-12 08:45,501
Sándor Tibor,2023-05-12 09:00,535
Sándor Tibor,2023-05-12 09:15,576
Sándor Tibor,2023-05-12 09:30,1114
Sándor Tibor,2023-05-12 09:45,1591
Sándor Tibor,2023-05-12 10:00,593
Sándor Tibor,2023-05-12 10:15,1536
Sándor Tibor,2023-05-12 10:30,1898
Sándor Tibor,2023-05-12 10:45,1371
Sándor Tibor,2023-05-12 11:00,1008
Sándor Tibor,2023-05-12 11:15,990
Sándor Tibor,2023-05-12 11:30,754
Sándor Tibor,2023-05-12 11:45,1075
Sándor Tibor,2023-05-12 12:00,1833
Sándor Tibor,2023-05-12 12:15,1095
Sándor Tibor,2023-05-12 12:30,828
Sándor Tibor,2023-05-12 12:45,855
Sándor Tibor,2023-05-12 13:00,472
Sándor Tibor,2023-05-12 13:15,373
Sándor Tibor,2023-05-12 13:30,1124
Sándor Tibor,2023-05-12 13:45,428
Sándor Tibor,2023-05-12 14:00,1422
Sándor Tibor,2023-05-12 14:15,1231
Sándor Tibor,2023-05-12 14:30,613
Sándor Tibor,2023-05-12 14:45,435
Sándor Tibor,2023-05-12 15:00,944
Sándor Tibor,2023-05-12 15:15,523
Sándor Tibor,2023-05-12 15:30,304
Sándor Tibor,2023-05-12 15:45,636
Sándor Tibor,2023-05-12 16:00,907
Sándor Tibor,2023-05-12 16:15,614
Sándor Tibor,2023-05-12 16:30,611
Sándor Tibor,2023-05-12 16:45,445
Sándor Tibor,2023-05-12 17:00,457
Sándor Tibor,2023-05-12 17:15,759
Sándor Tibor,2023-05-12 17:30,460
Sándor Tibor,2023-05-12 17:45,671
Sándor Tibor,2023-05-12 18:00,409
Sándor Tibor,2023-05-12 18:15,736
Sándor Tibor,2023-05-12 18:30,520
Sándor Tibor,2023-05-12 18:45,211
Sándor Tibor,2023-05-12 19:00,217
Sándor Tibor,2023-05-12 19:15,173
Sándor Tibor,2023-05-12 19:30,71
Sándor Tibor,2023-05-12 19:45,46
Sándor Tibor,2023-05-12 20:00,4
Sándor Tibor,2023-05-12 20:15,1
Sándor Tibor,2023-05-12 20:30,0
