Plant Name,Time,Production (W)
Sándor Tibor,2023-05-14 05:30,39
Sándor Tibor,2023-05-14 05:45,77
Sándor Tibor,2023-05-14 06:00,112
Sándor Tibor,2023-05-14 06:15,205
Sándor Tibor,2023-05-14 06:30,371
Sándor Tibor,2023-05-14 06:45,210
Sándor Tibor,2023-05-14 07:00,395
Sándor Tibor,2023-05-14 07:15,294
Sándor Tibor,2023-05-14 07:30,154
Sándor Tibor,2023-05-14 07:45,183
Sándor Tibor,2023-05-14 08:00,602
Sándor Tibor,2023-05-14 08:15,778
Sándor Tibor,2023-05-14 08:30,471
Sándor Tibor,2023-05-14 08:45,533
Sándor Tibor,2023-05-14 09:00,713
Sándor Tibor,2023-05-14 09:15,860
Sándor Tibor,2023-05-14 09:30,666
Sándor Tibor,2023-05-14 09:45,1127
Sándor Tibor,2023-05-14 10:00,1899
Sándor Tibor,2023-05-14 10:15,1832
Sándor Tibor,2023-05-14 10:30,1360
Sándor Tibor,2023-05-14 10:45,1849
Sándor Tibor,2023-05-14 11:00,1451
Sándor Tibor,2023-05-14 11:15,1252
Sándor Tibor,2023-05-14 11:30,1223
Sándor Tibor,2023-05-14 11:45,1347
Sándor Tibor,2023-05-14 12:00,1697
Sándor Tibor,2023-05-14 12:15,1639
Sándor Tibor,2023-05-14 12:30,2118
Sándor Tibor,2023-05-14 12:45,725
Sándor Tibor,2023-05-14 13:00,1712
Sándor Tibor,2023-05-14 13:15,1542
Sándor Tibor,2023-05-14 13:30,1866
Sándor Tibor,2023-05-14 13:45,1416
Sándor Tibor,2023-05-14 14:00,1169
Sándor Tibor,2023-05-14 14:15,852
Sándor Tibor,2023-05-14 14:30,1578
Sándor Tibor,2023-05-14 14:45,1038
Sándor Tibor,2023-05-14 15:00,903
Sándor Tibor,2023-05-14 15:15,816
Sándor Tibor,2023-05-14 15:30,686
Sándor Tibor,2023-05-14 15:45,486
Sándor Tibor,2023-05-14 16:00,550
Sándor Tibor,2023-05-14 16:15,567
Sándor Tibor,2023-05-14 16:30,735
Sándor Tibor,2023-05-14 16:45,600
Sándor Tibor,2023-05-14 17:00,380
Sándor Tibor,2023-05-14 17:15,572
Sándor Tibor,2023-05-14 17:30,406
Sándor Tibor,2023-05-14 17:45,411
Sándor Tibor,2023-05-14 18:00,374
Sándor Tibor,2023-05-14 18:15,717
Sándor Tibor,2023-05-14 18:30,522
Sándor Tibor,2023-05-14 18:45,325
Sándor Tibor,2023-05-14 19:00,162
Sándor Tibor,2023-05-14 19:15,122
Sándor Tibor,2023-05-14 19:30,155
Sándor Tibor,2023-05-14 19:45,104
Sándor Tibor,2023-05-14 20:00,27
Sándor Tibor,2023-05-14 20:15,2
Sándor Tibor,2023-05-14 20:30,0
